customerID,Evasao,Genero,Idoso,customer.Partner,customer.Dependents,Meses_como_cliente,phone.PhoneService,phone.MultipleLines,internet.InternetService,internet.OnlineSecurity,internet.OnlineBackup,internet.DeviceProtection,internet.TechSupport,internet.StreamingTV,internet.StreamingMovies,account.Contract,account.PaperlessBilling,account.PaymentMethod,Faturamento_Mensal,Faturamento_Total,Contas_Diarias
1385-TQOZW,,Female,0,,,9,,,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,,Credit card (automatic),20.45,147.55,0.6816666666666666
1386-ZIKUV,,Male,0,,,7,,,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,,Mailed check,18.95,130.55,0.6316666666666666
1389-CXMLU,,Male,1,,,3,,,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,,Electronic check,91.05,289.1,3.0349999999999997
1389-WNUIB,,Female,0,,,20,,,DSL,Yes,No,No,No,Yes,Yes,One year,,Bank transfer (automatic),76.0,1588.75,2.533333333333333
1391-UBDAR,,Male,0,,,11,,,Fiber optic,No,No,Yes,No,No,No,Month-to-month,,Electronic check,72.9,818.45,2.43
1393-IMKZG,,Female,0,,,1,,,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,,Electronic check,95.85,95.85,3.195
1394-SUIUH,,Female,1,,,44,,,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,,Electronic check,85.15,3670.5,2.8383333333333334
1395-OFUWC,,Male,0,,,43,,,DSL,No,Yes,No,No,No,No,Month-to-month,,Credit card (automatic),29.3,1224.05,0.9766666666666667
1395-QOUWC,,Female,0,,,22,,,DSL,No,Yes,No,No,Yes,Yes,One year,,Bank transfer (automatic),69.5,1498.2,2.316666666666667
1395-WSWXR,,Male,0,,,24,,,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,,Mailed check,20.75,487.05,0.6916666666666667
1396-QWFBJ,,Female,0,,,21,,,Fiber optic,No,Yes,No,No,No,No,Month-to-month,,Bank transfer (automatic),74.05,1565.7,2.4683333333333333
1397-XKKWR,,Male,0,,,7,,,DSL,Yes,No,Yes,No,No,No,One year,,Mailed check,35.3,264.8,1.1766666666666665
1399-OUPJN,,Female,0,,,57,,,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,,Bank transfer (automatic),19.75,1272.05,0.6583333333333333
1399-UBQIU,,Male,0,,,11,,,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,,Electronic check,69.35,712.25,2.3116666666666665
1400-MMYXY,,Male,1,,,3,,,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,,Electronic check,105.9,334.65,3.5300000000000002
1400-WIVLL,,Male,0,,,57,,,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,,Electronic check,107.95,5969.85,3.5983333333333336
1401-FTHFQ,,Male,0,,,23,,,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,,Credit card (automatic),20.0,445.3,0.6666666666666666
1402-PTHGN,,Female,0,,,18,,,DSL,Yes,Yes,No,Yes,No,No,One year,,Mailed check,61.5,1087.45,2.05
1403-GYAFU,,Male,0,,,70,,,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,,Credit card (automatic),20.05,1360.25,0.6683333333333333
1403-LKLIK,,Female,0,,,33,,,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,,Mailed check,20.1,579.4,0.67
1406-PUQVY,,Male,0,,,1,,,DSL,No,Yes,No,No,No,No,Month-to-month,,Electronic check,49.9,49.9,1.6633333333333333
1407-DIGZV,,Female,0,,,3,,,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,,Mailed check,19.1,52,0.6366666666666667
1409-PHXTF,,Male,1,,,54,,,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,,Electronic check,110.45,6077.75,3.6816666666666666
1410-RSCMR,,Male,0,,,7,,,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,,Credit card (automatic),71.35,515.75,2.378333333333333
1414-YADCW,,Male,0,,,70,,,Fiber optic,Yes,Yes,No,Yes,No,No,Two year,,Bank transfer (automatic),84.6,5706.2,2.82
1415-YFWLT,,Female,1,,,1,,,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,,Electronic check,89.3,89.3,2.9766666666666666
1421-HCERK,,Male,1,,,30,,,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,,Bank transfer (automatic),105.7,3181.8,3.5233333333333334
1422-DGUBX,,Male,0,,,32,,,Fiber optic,No,No,No,Yes,No,No,One year,,Electronic check,79.25,2619.15,2.6416666666666666
1423-BMPBQ,,Female,0,,,1,,,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,,Mailed check,19.0,19,0.6333333333333333
1427-GOPMO,,Male,0,,,57,,,Fiber optic,No,No,No,No,Yes,No,One year,,Electronic check,86.9,4939.25,2.896666666666667
1427-VERSM,,Female,0,,,56,,,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,,Electronic check,98.7,5669.5,3.29
1428-GTBJJ,,Male,0,,,11,,,Fiber optic,No,Yes,No,No,No,No,Month-to-month,,Electronic check,74.55,824.75,2.485
1428-IEDPR,,Male,0,,,52,,,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,,Electronic check,109.3,5731.4,3.643333333333333
1428-QPOOL,,Female,0,,,65,,,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,,Bank transfer (automatic),82.5,5215.1,2.75
1429-UYJSV,,Female,0,,,12,,,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,,Mailed check,19.7,260.9,0.6566666666666666
1430-SFQSA,,Male,0,,,29,,,DSL,Yes,No,No,Yes,No,No,One year,,Mailed check,35.6,1072.6,1.1866666666666668
1431-AIDJQ,,Male,0,,,33,,,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,,Credit card (automatic),82.1,2603.1,2.7366666666666664
1431-CYWMH,,Female,0,,,22,,,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,,Bank transfer (automatic),19.05,454.05,0.635
1432-FPAXX,,Female,0,,,29,,,DSL,No,Yes,No,No,No,No,Month-to-month,,Electronic check,30.6,856.35,1.02
1436-ZMJAN,,Female,0,,,10,,,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,,Credit card (automatic),67.8,653.15,2.26
1439-LCGVL,,Female,0,,,26,,,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,,Mailed check,19.2,459.6,0.64
1442-BQPVU,,Female,0,,,13,,,DSL,No,Yes,No,No,No,No,Month-to-month,,Electronic check,29.15,357.15,0.9716666666666666
1442-OKRJE,,Male,0,,,66,,,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,,Bank transfer (automatic),103.15,7031.3,3.4383333333333335
1444-VVSGW,,Male,0,,,70,,,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,,Credit card (automatic),115.65,7968.85,3.855
1447-GIQMR,,Male,0,,,1,,,Fiber optic,No,No,No,No,No,No,Month-to-month,,Electronic check,69.15,69.15,2.305
1447-PJGGA,,Female,0,,,57,,,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,,Electronic check,95.25,5464.65,3.175
1448-CYWKC,,Female,0,,,58,,,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,,Credit card (automatic),105.2,6225.4,3.506666666666667
1448-PWKYE,,Male,0,,,1,,,Fiber optic,No,No,No,No,No,Yes,Month-to-month,,Electronic check,80.0,80,2.6666666666666665
1449-XQEMT,,Male,0,,,3,,,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,,Mailed check,19.8,58.15,0.66
1450-GALXR,,Female,0,,,10,,,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,,Electronic check,98.5,1058.25,3.283333333333333
1450-SKCVI,,Female,0,,,56,,,Fiber optic,No,Yes,No,No,No,No,Month-to-month,,Electronic check,73.85,4092.85,2.4616666666666664
1452-KIOVK,,Male,0,,,22,,,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,,Credit card (automatic),89.1,1949.4,2.9699999999999998
1452-UZOSF,,Male,0,,,72,,,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Two year,,Credit card (automatic),106.1,7548.6,3.5366666666666666
1452-VOQCH,,Male,0,,,1,,,Fiber optic,No,No,No,No,No,No,Month-to-month,,Electronic check,75.1,75.1,2.503333333333333
1452-XRSJV,,Female,0,,,39,,,DSL,Yes,No,No,No,No,No,Month-to-month,,Credit card (automatic),51.05,2066,1.7016666666666667
1453-RZFON,,Female,0,,,1,,,DSL,Yes,No,No,No,No,No,Month-to-month,,Mailed check,49.9,49.9,1.6633333333333333
1455-ESIQH,,Male,0,,,1,,,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,,Electronic check,89.1,89.1,2.9699999999999998
1455-HFBXA,,Male,0,,,52,,,Fiber optic,Yes,No,Yes,Yes,No,No,Two year,,Credit card (automatic),91.6,4627.8,3.0533333333333332
1455-UGQVH,,Male,0,,,10,,,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,,Electronic check,98.5,1037.75,3.283333333333333
1456-TWCGB,,Male,0,,,4,,,DSL,No,Yes,No,No,No,No,Month-to-month,,Mailed check,49.25,208.45,1.6416666666666666
1459-QNFQT,,Male,0,,,70,,,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,,Bank transfer (automatic),59.5,4144.8,1.9833333333333334
1460-UZPRJ,,Male,0,,,60,,,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,,Mailed check,19.95,1258.15,0.6649999999999999
1465-LNTLJ,,Male,1,,,8,,,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,,Credit card (automatic),64.4,581.7,2.146666666666667
1465-VINDH,,Female,0,,,10,,,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,,Credit card (automatic),102.1,1068.85,3.4033333333333333
1465-WCZVT,,Female,0,,,3,,,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,,Mailed check,19.65,60.65,0.6549999999999999
1468-DEFNC,,Male,1,,,64,,,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,,Bank transfer (automatic),24.4,1548.65,0.8133333333333332
1469-LBJQJ,,Female,0,,,66,,,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,,Electronic check,105.2,6936.85,3.506666666666667
1470-PSXNM,,Male,0,,,49,,,Fiber optic,No,Yes,Yes,No,Yes,No,One year,,Electronic check,93.65,4520.15,3.121666666666667
1471-GIQKQ,,Female,0,,,1,,,DSL,No,Yes,No,No,No,No,Month-to-month,,Electronic check,49.95,49.95,1.665
1472-TNCWL,,Male,0,,,36,,,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,,Electronic check,94.7,3512.5,3.1566666666666667
1474-JUWSM,,Female,0,,,58,,,DSL,Yes,No,No,Yes,No,Yes,One year,,Electronic check,68.4,3972.25,2.2800000000000002
1475-VWVDO,,Male,0,,,7,,,Fiber optic,No,No,Yes,No,No,No,Month-to-month,,Electronic check,74.9,490.55,2.496666666666667
1478-VPOAD,,Female,0,,,1,,,DSL,No,No,No,No,No,No,Month-to-month,,Electronic check,43.8,43.8,1.46
1480-BKXGA,,Male,1,,,72,,,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,,Bank transfer (automatic),116.05,8404.9,3.868333333333333
1480-IVEVR,,Male,1,,,35,,,Fiber optic,No,No,Yes,No,No,No,One year,,Bank transfer (automatic),81.6,2815.25,2.7199999999999998
1481-ZUWZA,,Male,0,,,28,,,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,,Credit card (automatic),94.5,2659.4,3.15
1482-OXZSY,,Male,0,,,30,,,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,,Bank transfer (automatic),100.4,2936.25,3.3466666666666667
1485-YDHMM,,Male,0,,,52,,,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,,Bank transfer (automatic),93.25,4631.7,3.1083333333333334
1488-PBLJN,,Female,0,,,72,,,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,,Bank transfer (automatic),116.85,8477.7,3.895
1488-SYSFC,,Male,0,,,31,,,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,,Electronic check,20.65,702.05,0.6883333333333332
1492-KGETH,,Male,0,,,70,,,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,,Bank transfer (automatic),78.35,5445.95,2.6116666666666664
1492-QGCLU,,Male,0,,,53,,,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,,Electronic check,85.7,4616.1,2.856666666666667
1493-AMTIE,,Male,0,,,1,,,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,,Bank transfer (automatic),20.2,20.2,0.6733333333333333
1494-EJZDW,,Female,0,,,10,,,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,,Mailed check,20.15,220.8,0.6716666666666666
1496-GGSUK,,Female,1,,,1,,,DSL,No,No,No,No,No,No,Month-to-month,,Mailed check,25.7,25.7,0.8566666666666667
1498-DQNRX,,Female,0,,,29,,,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,,Mailed check,19.85,573.05,0.6616666666666667
1498-NHTLT,,Male,0,,,59,,,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,,Electronic check,86.75,5186,2.8916666666666666
1501-SGHBW,,Male,0,,,2,,,DSL,No,No,No,No,No,No,Month-to-month,,Mailed check,45.85,81,1.5283333333333333
1502-XFCVR,,Female,0,,,58,,,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,,Electronic check,106.45,6145.85,3.5483333333333333
1506-YJTYT,,Male,0,,,45,,,DSL,Yes,Yes,No,Yes,Yes,No,Two year,,Credit card (automatic),73.85,3371,2.4616666666666664
1508-DFXCU,,Male,0,,,12,,,Fiber optic,No,No,No,No,Yes,No,Month-to-month,,Electronic check,81.45,912,2.7150000000000003
1513-XNPPH,,Female,0,,,12,,,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,,Electronic check,89.4,1095.65,2.98
1518-OMDIK,,Male,0,,,33,,,DSL,No,No,No,No,No,No,Month-to-month,,Credit card (automatic),44.55,1462.6,1.4849999999999999
1518-VOWAV,,Female,0,,,9,,,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,,Electronic check,74.65,703.55,2.4883333333333337
1522-VVDMG,,Male,0,,,7,,,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,,Electronic check,89.75,608.8,2.9916666666666667
1525-LNLOJ,,Male,0,,,66,,,DSL,No,No,Yes,No,Yes,No,Two year,,Bank transfer (automatic),63.3,4189.7,2.11
1527-SXDPN,,Male,0,,,52,,,Fiber optic,No,No,Yes,Yes,No,Yes,Two year,,Bank transfer (automatic),96.25,4990.25,3.2083333333333335
1530-ZTDOZ,,Female,0,,,49,,,DSL,Yes,No,No,No,Yes,No,Month-to-month,,Bank transfer (automatic),40.65,2070.75,1.355
1534-OULXE,,Female,0,,,61,,,DSL,Yes,No,No,No,No,No,One year,,Bank transfer (automatic),49.7,2961.4,1.6566666666666667
1535-VTJOQ,,Female,0,,,24,,,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,,Credit card (automatic),25.15,553,0.8383333333333333
1536-HBSWP,,Female,0,,,1,,,DSL,No,No,No,Yes,No,No,Month-to-month,,Electronic check,49.9,49.9,1.6633333333333333
1536-YHDOE,,Male,0,,,17,,,DSL,Yes,No,No,Yes,No,No,One year,,Mailed check,62.1,1096.65,2.07
1539-LNKHM,,Female,0,,,12,,,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,,Mailed check,20.4,266.6,0.6799999999999999
1541-ETJZO,,Male,0,,,1,,,DSL,No,No,Yes,Yes,No,No,Month-to-month,,Mailed check,62.05,62.05,2.0683333333333334
1543-LLLFT,,Male,1,,,61,,,Fiber optic,No,Yes,Yes,Yes,Yes,No,One year,,Mailed check,98.3,6066.55,3.2766666666666664
1544-JJMYL,,Male,0,,,27,,,DSL,Yes,No,Yes,Yes,Yes,No,One year,,Credit card (automatic),69.35,1927.3,2.3116666666666665
1545-ACTAS,,Female,0,,,48,,,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,,Bank transfer (automatic),99.7,4977.2,3.3233333333333333
1545-JFUML,,Male,0,,,71,,,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,,Electronic check,99.0,6994.6,3.3
1548-ARAGG,,Female,0,,,4,,,DSL,No,Yes,No,Yes,No,No,Month-to-month,,Mailed check,58.5,224.85,1.95
1548-FEHVL,,Male,0,,,61,,,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,,Electronic check,106.2,6375.2,3.54
1550-EENBN,,Female,0,,,31,,,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,,Electronic check,104.35,3205.6,3.478333333333333
1550-LOAHA,,Female,0,,,32,,,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,,Bank transfer (automatic),84.15,2585.95,2.805
1552-AAGRX,,Female,0,,,30,,,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,,Bank transfer (automatic),106.4,3211.9,3.546666666666667
1552-CZCLL,,Female,0,,,55,,,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,,Credit card (automatic),20.0,1087.25,0.6666666666666666
1552-TKMXS,,Female,0,,,42,,,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,,Credit card (automatic),20.35,869.9,0.6783333333333333
1555-DJEQW,,Female,0,,,70,,,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,,Bank transfer (automatic),114.2,7723.9,3.8066666666666666
1555-HAPSU,,Female,0,,,71,,,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,,Credit card (automatic),23.9,1663.5,0.7966666666666666
1557-EMYVT,,Female,0,,,43,,,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,,Credit card (automatic),115.05,4895.1,3.835
1559-DTODC,,Male,0,,,19,,,DSL,No,No,No,No,No,No,Month-to-month,,Bank transfer (automatic),25.15,468.35,0.8383333333333333
1561-BWHIN,,Male,0,,,19,,,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,,Mailed check,19.8,344.5,0.66
1563-IWQEX,,Female,0,,,12,,,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,,Mailed check,19.7,220.35,0.6566666666666666
1564-HJUVY,,Male,0,,,4,,,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,,Bank transfer (automatic),63.75,226.2,2.125
1564-NTYXF,,Female,1,,,13,,,Fiber optic,No,No,No,No,No,Yes,Month-to-month,,Electronic check,82.0,1127.2,2.7333333333333334
1565-RHDJD,,Female,0,,,4,,,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,,Bank transfer (automatic),84.05,333.55,2.8016666666666667
1567-DSCIC,,Male,0,,,8,,,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,,Electronic check,94.0,773.65,3.1333333333333333
1568-BEKZM,,Male,1,,,70,,,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,,Credit card (automatic),90.05,6333.4,3.0016666666666665
1568-LJSZU,,Male,0,,,68,,,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,,Credit card (automatic),92.2,6392.85,3.0733333333333333
1569-TTNYJ,,Male,0,,,5,,,Fiber optic,No,Yes,No,No,No,No,Month-to-month,,Electronic check,78.75,412.1,2.625
1571-SAVHK,,Male,0,,,12,,,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,,Mailed check,99.95,1132.75,3.3316666666666666
1573-LGXBA,,Male,0,,,57,,,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,,Credit card (automatic),97.55,5598,3.2516666666666665
1574-DYCWE,,Female,0,,,51,,,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,,Mailed check,19.95,1028.75,0.6649999999999999
1575-KRZZE,,Female,0,,,4,,,DSL,Yes,Yes,No,No,No,No,Month-to-month,,Electronic check,55.2,220.65,1.84
1576-PFZIW,,Male,1,,,70,,,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,,Credit card (automatic),105.35,7511.9,3.5116666666666663
1577-HKTFG,,Female,0,,,30,,,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,,Bank transfer (automatic),19.65,655.85,0.6549999999999999
1579-KLYDT,,Male,0,,,7,,,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,,Electronic check,90.45,593.45,3.015
1580-BMCMR,,Male,1,,,19,,,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,,Electronic check,87.3,1637.3,2.9099999999999997
1582-RAFML,,Male,0,,,1,,,DSL,No,Yes,No,Yes,No,No,Month-to-month,,Mailed check,60.1,60.1,2.0033333333333334
1583-IHQZE,,Male,0,,,12,,,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,,Mailed check,112.95,1384.75,3.765
1585-MQSSU,,Male,0,,,17,,,DSL,No,No,No,Yes,No,No,Month-to-month,,Mailed check,51.5,900.5,1.7166666666666666
1587-FKLZB,,Male,1,,,66,,,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,,Credit card (automatic),99.5,6822.15,3.316666666666667
1589-AGTLK,,Male,0,,,3,,,DSL,No,No,No,No,No,No,Month-to-month,,Electronic check,45.35,141.5,1.5116666666666667
1591-MQJTP,,Male,1,,,51,,,Fiber optic,Yes,No,Yes,No,No,Yes,One year,,Bank transfer (automatic),93.65,4839.15,3.121666666666667
1591-NFNLQ,,Male,0,,,51,,,Fiber optic,No,No,Yes,No,No,No,Month-to-month,,Credit card (automatic),80.0,4242.35,2.6666666666666665
1591-XWLGB,,Female,0,,,71,,,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,,Credit card (automatic),19.85,1379.6,0.6616666666666667
1596-BBVTG,,Male,0,,,35,,,Fiber optic,No,No,No,No,No,No,Month-to-month,,Credit card (automatic),75.35,2636.05,2.5116666666666663
1596-OQSPS,,Female,0,,,11,,,DSL,No,Yes,No,No,No,No,Month-to-month,,Electronic check,51.1,531.15,1.7033333333333334
1597-FZREH,,Female,0,,,2,,,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,,Electronic check,76.4,160.8,2.546666666666667
1597-LHYNC,,Female,1,,,26,,,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,,Electronic check,95.0,2497.2,3.1666666666666665
1599-EAHXY,,Male,0,,,60,,,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,,Credit card (automatic),23.95,1506.4,0.7983333333333333
1599-MMYRQ,,Male,0,,,62,,,Fiber optic,Yes,Yes,No,No,No,No,One year,,Credit card (automatic),81.45,4983.05,2.7150000000000003
1600-DILPE,,Female,0,,,12,,,DSL,No,No,No,No,No,No,Month-to-month,,Bank transfer (automatic),45.0,524.35,1.5
1602-IJQQE,,Female,0,,,4,,,Fiber optic,No,No,No,No,No,No,Month-to-month,,Electronic check,75.35,338.1,2.5116666666666663
1608-GMEWB,,Male,1,,,45,,,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,,Bank transfer (automatic),93.9,4200.25,3.1300000000000003
1612-EOHDH,,Female,0,,,1,,,DSL,No,No,No,No,No,No,Month-to-month,,Electronic check,45.15,45.15,1.505
1614-JBEBI,,Female,0,,,8,,,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,,Mailed check,20.7,137.6,0.69
1618-CFHME,,Female,0,,,2,,,Fiber optic,No,No,No,No,No,No,Month-to-month,,Electronic check,75.9,143.35,2.5300000000000002
1619-YWUBB,,Female,0,,,68,,,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,,Credit card (automatic),24.95,1614.9,0.8316666666666667
1621-YNCJH,,Female,0,,,36,,,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Two year,,Credit card (automatic),106.05,3834.4,3.5349999999999997
1622-HSHSF,,Female,0,,,1,,,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,,Mailed check,19.55,19.55,0.6516666666666667
1623-NLDOT,,Female,0,,,42,,,DSL,No,Yes,No,Yes,No,No,One year,,Mailed check,33.55,1445.3,1.1183333333333332
1624-NALOJ,,Male,1,,,5,,,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,,Electronic check,89.8,502.6,2.993333333333333
1624-WOIWJ,,Female,0,,,10,,,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,,Mailed check,84.7,832.05,2.8233333333333333
1625-JAIIY,,Female,0,,,68,,,Fiber optic,No,No,No,No,Yes,No,One year,,Electronic check,83.0,5685.8,2.7666666666666666
1626-ERCMM,,Male,1,,,20,,,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,,Electronic check,94.55,1899.65,3.1516666666666664
1627-AFWVJ,,Female,0,,,29,,,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,,Mailed check,19.4,554.25,0.6466666666666666
1628-BIZYP,,Male,0,,,1,,,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,,Electronic check,85.0,85,2.8333333333333335
1629-DQQVB,,Female,0,,,14,,,DSL,Yes,No,No,No,No,No,Month-to-month,,Bank transfer (automatic),50.1,709.5,1.6700000000000002
1635-FJFCC,,Female,0,,,5,,,DSL,No,No,No,No,No,No,Month-to-month,,Credit card (automatic),44.05,202.15,1.4683333333333333
1635-HDGFT,,Female,0,,,19,,,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,,Mailed check,20.5,398.55,0.6833333333333333
1635-NZATJ,,Male,1,,,71,,,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,,Credit card (automatic),25.45,1789.65,0.8483333333333333
1636-NTNCO,,Male,1,,,4,,,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,,Credit card (automatic),50.95,207.35,1.6983333333333335
1640-PLFMP,,Female,0,,,1,,,Fiber optic,No,No,No,No,No,No,Month-to-month,,Electronic check,70.25,70.25,2.341666666666667
1641-BYBTK,,Male,0,,,6,,,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,,Mailed check,20.2,98.35,0.6733333333333333
1641-RQDAY,,Female,1,,,32,,,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,,Electronic check,100.4,3217.65,3.3466666666666667
1642-HMARX,,Female,0,,,68,,,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,,Electronic check,91.7,6424.7,3.0566666666666666
1644-IRKSF,,Female,0,,,33,,,Fiber optic,No,No,Yes,No,Yes,Yes,One year,,Electronic check,93.8,3124.5,3.1266666666666665
1645-EFCGT,,Male,0,,,72,,,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,,Credit card (automatic),19.4,1363.25,0.6466666666666666
1656-DRSMG,,Female,0,,,63,,,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,,Credit card (automatic),109.85,7002.95,3.6616666666666666
1657-DYMBM,,Male,0,,,53,,,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,,Credit card (automatic),19.9,1110.05,0.6633333333333333
1658-BYGOY,,Male,1,,,18,,,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,,Electronic check,95.45,1752.55,3.1816666666666666
